class,order,family,genus,specificEpithet,12S,16S,COI,cytB,ITS,matK,psbA-trnH,rbcL,cpGenome_total,mtGenome_total,nucGenome_total,otherLoci_total,total_sequences,cpGenome_GB,mtGenome_GB,nucGenome_GB,otherLoci_GB,cpGenome_RS,mtGenome_RS,nucGenome_RS,otherLoci_RS
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,unicatus,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,personatus,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,saikaiensis,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,unzenensis,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,bifurcatus,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Aeolocoelotes,cornutus,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Agelenidae,Agelena,limbata,2,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
